time;Current M1;Current M2;Current M3;Desired M1;Desired M2;Desired M3
55;3;3;4;111;111;111
59;3;4;4;111;111;111
63;3;4;4;111;111;111
66;3;6;4;111;111;111
70;4;6;6;111;111;111
74;4;6;6;111;111;111
78;6;8;8;111;111;111
82;6;8;8;111;111;111
85;6;8;8;111;111;111
89;8;9;8;111;111;111
93;8;9;8;112;112;112
97;8;11;9;112;112;112
101;9;11;9;112;112;112
105;9;11;9;112;112;112
109;9;11;11;112;112;112
113;9;13;11;112;112;112
117;11;13;11;112;112;112
121;11;13;13;112;112;112
125;13;13;13;112;112;112
129;13;14;13;112;112;112
133;13;14;14;112;112;112
137;14;14;14;112;112;112
141;14;16;14;112;112;112
145;14;16;16;112;112;112
149;16;16;16;112;112;112
153;16;16;16;112;112;112
157;16;17;18;113;113;113
161;16;17;18;113;113;113
165;18;17;18;113;113;113
169;18;19;18;113;113;113
173;19;19;18;113;113;113
177;19;19;19;113;113;113
181;19;19;19;113;113;113
185;21;21;19;113;113;113
189;21;21;21;113;113;113
193;21;21;21;113;113;113
197;21;21;21;113;113;113
201;22;22;22;114;114;114
204;22;22;22;114;114;114
208;22;22;22;114;114;114
212;22;22;22;114;114;114
216;24;24;24;114;114;114
219;24;24;24;114;114;114
223;24;24;24;114;114;114
227;26;24;24;114;114;114
231;26;26;24;114;114;114
235;26;26;26;114;114;114
238;26;26;26;115;115;115
242;27;26;26;115;115;115
246;27;27;26;115;115;115
250;27;27;27;115;115;115
254;27;27;27;115;115;115
257;29;27;27;115;115;115
261;29;29;27;115;115;115
265;29;29;29;115;115;115
270;29;29;29;116;116;116
274;29;29;29;116;116;116
277;31;31;29;116;116;116
281;31;31;31;116;116;116
285;31;31;31;116;116;116
289;31;31;31;116;116;116
293;31;31;31;116;116;116
297;32;32;32;117;117;117
300;32;32;32;117;117;117
305;34;32;32;117;117;117
308;34;32;32;117;117;117
312;34;34;32;117;117;117
316;34;34;34;117;117;117
320;36;34;34;117;117;117
324;36;34;34;118;118;118
328;36;35;34;118;118;118
332;36;35;36;118;118;118
335;37;35;36;118;118;118
339;37;35;36;118;118;118
343;37;37;36;118;118;118
347;39;37;36;119;119;119
350;39;37;37;119;119;119
354;39;37;37;119;119;119
359;39;39;37;119;119;119
363;39;39;37;119;119;119
366;40;39;39;120;120;120
370;40;39;39;120;120;120
374;40;40;39;120;120;120
377;40;40;39;120;120;120
381;42;40;40;120;120;120
385;42;40;40;120;120;120
389;42;42;40;121;121;121
393;42;42;40;121;121;121
396;44;42;40;121;121;121
400;44;42;42;121;121;121
404;44;42;42;121;121;121
408;45;44;42;122;122;122
412;45;44;44;122;122;122
416;45;44;44;122;122;122
420;45;44;44;122;122;122
424;47;45;44;122;122;122
428;47;45;45;123;123;123
432;47;45;45;123;123;123
435;47;45;45;123;123;123
439;49;47;45;123;123;123
443;49;47;47;124;124;124
447;49;47;47;124;124;124
450;49;47;47;124;124;124
454;49;47;47;124;124;124
458;50;49;47;124;124;124
462;50;49;47;125;125;125
466;50;49;49;125;125;125
470;50;49;49;125;125;125
473;52;50;49;125;125;125
478;52;50;50;126;126;126
481;52;50;50;126;126;126
485;52;50;50;126;126;126
489;52;50;50;126;126;126
493;54;52;50;127;127;127
497;54;52;50;127;127;127
501;54;52;52;127;127;127
504;54;52;52;127;127;127
508;54;52;52;127;127;127
512;55;53;52;128;128;128
515;55;53;52;128;128;128
519;55;53;54;128;128;128
523;57;53;54;128;128;128
527;57;55;54;129;129;129
531;57;53;54;129;129;129
535;57;55;54;129;129;129
539;57;55;55;130;130;130
542;57;55;55;130;130;130
546;58;57;55;130;130;130
550;58;57;55;130;130;130
554;58;57;57;131;131;131
558;58;57;57;131;131;131
562;60;57;57;131;131;131
566;60;58;57;131;131;131
570;60;58;58;132;132;132
574;60;58;58;132;132;132
578;60;58;58;132;132;132
582;62;60;58;133;133;133
586;62;60;58;133;133;133
589;62;60;60;133;133;133
593;63;60;60;133;133;133
597;63;60;60;134;134;134
601;63;60;60;134;134;134
605;63;62;60;134;134;134
609;63;62;60;135;135;135
613;63;62;62;135;135;135
616;65;62;62;135;135;135
620;65;63;62;136;136;136
624;65;63;62;136;136;136
628;65;63;62;136;136;136
631;67;63;63;136;136;136
635;67;65;63;137;137;137
639;67;65;63;137;137;137
643;67;65;65;137;137;137
647;67;65;63;138;138;138
650;68;65;63;138;138;138
654;68;67;65;138;138;138
658;68;67;65;139;139;139
662;68;67;65;139;139;139
666;68;67;65;139;139;139
670;68;67;67;140;140;140
674;70;68;67;140;140;140
678;70;68;67;140;140;140
682;70;68;67;141;141;141
686;70;68;68;141;141;141
690;72;68;68;141;141;141
693;72;70;68;142;142;142
697;72;70;68;142;142;142
702;72;70;68;142;142;142
706;72;70;70;143;143;143
709;73;70;70;143;143;143
714;73;71;70;143;143;143
718;73;71;70;144;144;144
722;73;71;70;144;144;144
726;75;71;72;145;145;145
730;75;71;72;145;145;145
734;75;73;72;145;145;145
738;75;73;72;146;146;146
742;75;73;72;146;146;146
746;75;73;73;146;146;146
749;76;73;73;147;147;147
753;76;75;73;147;147;147
757;76;75;73;147;147;147
761;76;75;73;148;148;148
765;76;75;75;148;148;148
769;76;75;75;149;149;149
773;78;75;75;149;149;149
776;78;76;75;149;149;149
780;78;76;76;150;150;150
784;80;76;75;150;150;150
788;80;76;76;150;150;150
791;80;78;76;151;151;151
795;80;78;76;151;151;151
799;80;78;76;152;152;152
803;80;78;76;152;152;152
806;81;78;78;152;152;152
810;81;78;78;153;153;153
814;81;80;78;153;153;153
817;81;80;78;153;153;153
821;81;80;78;154;154;154
825;83;80;80;154;154;154
829;83;80;80;155;155;155
832;83;81;80;155;155;155
836;83;81;81;155;155;155
840;83;81;81;156;156;156
844;85;81;81;156;156;156
848;85;81;81;157;157;157
852;85;83;81;157;157;157
856;85;83;83;157;157;157
860;85;83;83;158;158;158
864;86;83;83;158;158;158
868;86;84;83;159;159;159
872;86;84;83;159;159;159
876;86;84;83;160;160;160
879;88;84;85;160;160;160
884;88;86;85;160;160;160
887;88;86;85;161;161;161
891;88;86;85;161;161;161
895;88;86;85;162;162;162
899;90;88;86;162;162;162
902;90;88;86;163;163;163
906;90;88;86;163;163;163
910;90;88;86;163;163;163
914;91;88;86;164;164;164
